                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8588,                 4.1607,                 1.5912,                0.00154,                0.38667,                0.01513,                0.00539,                 2.1613,                 3.8491,                 2.2732,             0.00054142,             0.00054142,             0.00054142
                      2,                  2.117,                 4.1438,                 1.8138,                0.50496,                0.00641,                0.00085,                0.00024,                 3.0505,                  5.538,                 4.6466,              0.0010754,              0.0010754,              0.0010754
                      3,                 2.4475,                 4.1045,                 2.0224,                0.50496,                0.00641,                0.00085,                0.00024,                    nan,                    nan,                    nan,              0.0015873,              0.0015873,              0.0015873
                      4,                 2.4141,                 3.9128,                   2.03,                0.50496,                0.00641,                0.00085,                0.00024,                 4.8914,                    inf,                 94.175,               0.001568,               0.001568,               0.001568
                      5,                  2.486,                 3.7309,                 2.0807,                  5e-05,                0.00641,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                      6,                 2.4125,                 3.5961,                 2.0264,                  5e-05,                0.00641,                  3e-05,                  1e-05,                 4.4504,                    inf,                  270.4,               0.001502,               0.001502,               0.001502
                      7,                 2.5087,                 3.5497,                 2.0467,                0.00076,                0.03282,                0.00039,                0.00019,                  4.505,                    inf,                 12.233,               0.001469,               0.001469,               0.001469
                      8,                 2.4451,                 3.4467,                 2.1152,                0.01357,                0.12333,                0.00623,                0.00189,                 2.7075,                 16.885,                 2.4918,               0.001436,               0.001436,               0.001436
                      9,                 2.3469,                 3.4093,                 2.0656,                0.07265,                 0.1041,                0.02389,                 0.0095,                 2.7012,                 6.5444,                 2.6051,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.2866,                 3.2321,                 1.9586,                 0.0024,                0.14974,                0.00134,                0.00043,                 3.2882,                    inf,                 3.7401,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.2844,                 3.1845,                  1.959,                0.12654,                   0.02,                0.01064,                0.00379,                 3.6503,                 5.3102,                 4.3814,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.1905,                 3.1256,                 1.8827,                0.15177,                0.11846,                0.05658,                0.02402,                  2.654,                 3.6111,                 2.3706,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.1114,                 2.9712,                 1.8079,                0.13616,                0.15128,                0.09238,                0.03082,                 2.3854,                 3.0738,                 2.0957,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.0974,                 2.9423,                 1.8342,                0.09119,                0.17638,                0.04414,                0.01902,                 2.4331,                 3.8537,                 2.1483,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.0709,                 2.9661,                 1.7954,                0.08657,                0.09924,                0.03853,                0.01744,                 2.3021,                 4.1993,                 2.0625,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.0394,                 2.9061,                 1.7915,                0.14292,                0.11692,                0.05647,                0.02364,                 2.2852,                 3.1861,                 2.0539,              0.0011719,              0.0011719,              0.0011719
                     17,                 2.0844,                 2.9176,                 1.8462,                0.11945,                0.13769,                0.06324,                  0.027,                 2.2147,                 3.1493,                  1.931,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.0701,                 2.8951,                 1.8277,                0.11224,                 0.1641,                0.06019,                0.02934,                 2.3096,                 3.2501,                 1.9839,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.9975,                 2.8799,                 1.7803,                0.21364,                 0.1241,                0.10538,                0.04436,                 2.1729,                  2.935,                 1.8923,              0.0010729,              0.0010729,              0.0010729
                     20,                  2.016,                 2.7536,                 1.7672,                 0.2016,                0.22256,                0.11131,                0.03744,                 2.1761,                 2.9344,                 1.8888,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.9267,                 2.6451,                  1.733,                0.16507,                0.16897,                0.11433,                 0.0504,                 2.2576,                  2.935,                 1.9913,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.8074,                 2.5391,                  1.592,                0.20756,                0.17692,                0.12457,                0.06198,                 2.1805,                 3.0078,                 1.9227,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.7978,                 2.5192,                  1.615,                0.28408,                 0.2041,                0.15243,                0.06438,                 2.2009,                 2.8765,                 1.9468,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.8319,                 2.4893,                 1.6765,                0.26241,                0.14333,                 0.1245,                0.06416,                 2.2599,                 2.8667,                 1.8967,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.8176,                 2.4382,                 1.6162,                0.34601,                0.10292,                0.11391,                0.05666,                 2.1185,                 2.8493,                 1.8536,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.7556,                 2.3719,                 1.5973,                0.23154,                0.24239,                0.16134,                0.08222,                 2.0845,                 2.7498,                 1.8801,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.7903,                  2.421,                 1.5911,                0.22125,                0.22897,                0.15691,                0.09062,                 2.0931,                 2.7757,                 1.8558,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.7135,                 2.2643,                 1.5523,                0.26271,                0.19615,                0.15516,                0.07678,                 1.9484,                 2.6836,                 1.7906,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.6352,                 2.2086,                 1.4996,                0.24226,                 0.2041,                0.16541,                0.07994,                 2.0197,                  2.894,                 1.8374,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.6624,                 2.1712,                 1.5443,                0.23552,                0.22179,                0.17023,                0.07866,                  2.045,                 2.6563,                 1.8019,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.6378,                 2.2561,                 1.5235,                 0.2898,                0.18333,                0.15919,                0.07937,                 2.0564,                 2.6612,                 1.8249,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.5832,                 2.0972,                 1.5163,                0.27872,                0.22598,                0.16229,                0.09027,                 2.1091,                 2.8458,                 1.8689,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.5588,                  2.174,                 1.4846,                0.23214,                0.20534,                0.14565,                0.07742,                 2.1165,                 2.8904,                 1.8798,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.5645,                 1.9509,                   1.54,                0.34143,                0.20333,                0.16116,                0.07869,                 2.0902,                 2.7669,                 1.8298,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.5032,                 2.0333,                  1.464,                0.26081,                0.27462,                0.19781,                  0.085,                  2.084,                 2.6923,                 1.8176,             0.00054478,             0.00054478,             0.00054478
                     36,                  1.453,                 1.8481,                 1.4178,                0.24866,                0.29198,                0.20679,                0.11145,                 2.0383,                 2.6818,                 1.8193,             0.00051177,             0.00051177,             0.00051177
                     37,                  1.505,                 1.8914,                 1.4475,                0.25778,                0.28103,                0.20622,                0.10708,                 2.0534,                 2.6452,                 1.8663,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.4223,                 1.8103,                 1.3975,                0.26174,                0.22988,                0.19587,                0.10638,                 1.9323,                 2.7525,                  1.771,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.4209,                 1.8188,                 1.4014,                0.24041,                0.26821,                0.20295,                0.10082,                 1.9822,                 2.6368,                 1.8002,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.3978,                 1.7154,                 1.3614,                0.33792,                0.22897,                0.19127,                0.09369,                 2.0089,                 2.6128,                 1.7857,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.4099,                 1.8589,                 1.4195,                0.29994,                0.20256,                 0.1804,                0.09825,                 1.9268,                 2.7939,                 1.7874,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.3561,                 1.8131,                  1.361,                0.40269,                0.18974,                0.20496,                0.10781,                 2.0151,                 2.6753,                 1.8069,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.3624,                 1.7344,                 1.3703,                0.40236,                0.20974,                 0.2237,                0.10926,                 1.9573,                 2.5899,                 1.8275,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.2852,                 1.5775,                 1.3351,                0.33781,                0.20256,                0.21809,                0.10656,                 1.9844,                 2.5284,                 1.8086,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.2667,                 1.5732,                 1.3197,                0.28677,                0.26179,                0.23466,                0.11941,                 1.9898,                 2.5465,                 1.7817,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.3021,                 1.5826,                 1.3138,                0.34631,                0.25462,                0.24657,                0.12325,                 2.0028,                 2.6011,                 1.7792,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.2251,                 1.4599,                 1.3014,                0.36793,                0.29631,                0.25279,                0.12756,                 1.9962,                 2.5572,                 1.7826,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.3208,                 1.5742,                 1.3514,                0.32202,                0.32667,                0.26407,                  0.126,                 1.9541,                 2.5076,                 1.7527,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.2944,                 1.5848,                 1.3102,                0.41376,                0.25751,                 0.2781,                 0.1335,                 1.9346,                 2.4965,                 1.7245,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.2395,                 1.4457,                 1.2897,                0.47914,                0.26103,                0.26522,                0.12917,                 1.9354,                 2.5207,                 1.7149,             4.9677e-05,             4.9677e-05,             4.9677e-05
